sound name,total duration,intensity,spectraltilt,median F0,mean F0,sd F0,min F0,max F0,number pulses,number periods,mean periods,sd period,fraction of locally unvoiced frames,fraction,number of voice breaks,degree of voice breaks,degree,jitter local,jitter local abs,jitter rap,jitter ppq5,shimmer local,shimmer local db,shimmer apq3,shimmer apq5,shimmer apq11,mean autocorr,mean NHR,mean HNR,F1,F2,F3,F4
25750_,2.665,55.607,-17.045,207.029,202.081,16.588,163.841,251.62,381,376,4.949,0.438,28.98,of locally unvoiced frames: 28.980%   (71 / 245),3,28.494,of voice breaks: 28.494%   (0.759492 seconds / 2.665452 seconds),1.147,56.766,0.488,0.574,6.167,0.79,2.168,3.575,7.315,0.959,0.049,17.675,672.146,1822.28,3017.17,3971.747
25754_đạ,0.253,57.46,-8.717,200.798,189.296,34.815,94.629,216.188,39,37,5.042,0.423,0,of locally unvoiced frames: 0   (0 / 20),0,0,of voice breaks: 0   (0 seconds / 0.253184 seconds),1.431,72.136,0.569,0.353,4.035,0.452,1.378,1.702,3.536,0.874,0.195,12.057,1028.611,1933.698,2919.901,3924.236
25758_,2.409,54.559,-18.739,201.319,194.549,21.02,86.336,257.478,383,376,5.132,0.744,16.29,of locally unvoiced frames: 16.290%   (36 / 221),3,17.625,of voice breaks: 17.625%   (0.424625 seconds / 2.409203 seconds),1.408,72.275,0.494,0.539,5.504,0.676,2.168,3.402,6.391,0.959,0.052,17.889,651.566,1816.499,3066.874,4013.926
25762_đạ,0.224,57.507,-10.469,201.484,199.219,9.059,181.096,209.959,39,38,5.035,0.272,0,of locally unvoiced frames: 0   (0 / 17),0,0,of voice breaks: 0   (0 seconds / 0.224158 seconds),1.19,59.925,0.589,0.32,3.842,0.403,1.254,1.656,2.997,0.953,0.058,15.841,971.103,1909.054,2822.72,3801.849
25766_,2.808,55.439,-17.142,203.052,201.647,15.801,165.695,247.138,391,387,4.961,0.414,30.116,of locally unvoiced frames: 30.116%   (78 / 259),3,30.698,of voice breaks: 30.698%   (0.861961 seconds / 2.807875 seconds),1.135,56.331,0.485,0.546,5.87,0.762,2.126,3.362,6.347,0.96,0.049,18.305,728.247,1832.379,3051.545,4011.736
25770_đả,0.236,59.236,-11.267,188.298,185.791,20.79,153.977,212.376,40,39,5.393,0.626,0,of locally unvoiced frames: 0   (0 / 19),0,0,of voice breaks: 0   (0 seconds / 0.235832 seconds),0.922,49.731,0.198,0.248,2.969,0.27,1.01,1.517,3.218,0.917,0.095,11.952,981.579,1925.712,2807.303,3756.33
25774_,2.501,56.083,-18.296,210.426,202.83,17.194,162.796,250.198,388,384,4.94,0.448,22.609,of locally unvoiced frames: 22.609%   (52 / 230),2,22.376,of voice breaks: 22.376%   (0.559557 seconds / 2.500714 seconds),1.12,55.324,0.449,0.575,5.73,0.73,2.17,3.493,6.688,0.96,0.051,18.091,650.122,1806.465,3043.087,3991.21
25778_đả,0.226,59.431,-12.681,188.653,187.03,23.863,152.337,223.364,38,37,5.369,0.705,0,of locally unvoiced frames: 0   (0 / 18),0,0,of voice breaks: 0   (0 seconds / 0.226375 seconds),1.118,60.044,0.184,0.232,3.613,0.331,1.094,1.84,3.584,0.907,0.107,10.461,961.803,1860.243,2818.183,3654.066
25782_,2.637,55.482,-18.687,204.45,199.85,19.173,112.611,240.882,390,386,5.009,0.554,23.868,of locally unvoiced frames: 23.868%   (58 / 243),3,25.598,of voice breaks: 25.598%   (0.674903 seconds / 2.636546 seconds),1.279,64.067,0.524,0.662,5.786,0.755,2.13,3.486,6.829,0.955,0.058,17.869,669.166,1818.824,3047.584,3989.871
25786_đá,0.242,57.919,-10.57,173.531,174.543,4.962,169.307,189.497,37,36,5.725,0.168,0,of locally unvoiced frames: 0   (0 / 19),0,0,of voice breaks: 0   (0 seconds / 0.241539 seconds),0.616,35.264,0.202,0.245,3.892,0.338,1.672,1.983,3.232,0.946,0.062,14.668,969.88,1878.274,2728.036,3712.971
25790_,2.544,55.46,-18.592,207.279,202.713,16.893,166.174,250.474,396,392,4.931,0.438,21.368,of locally unvoiced frames: 21.368%   (50 / 234),3,22.845,of voice breaks: 22.845%   (0.581086 seconds / 2.543601 seconds),1.181,58.256,0.474,0.561,5.851,0.769,2.06,3.209,6.292,0.96,0.049,18.141,659.624,1834.635,3048.401,4011.999
25794_đá,0.259,58.617,-9.249,170.823,171.389,2.813,168.468,179.546,40,39,5.834,0.096,0,of locally unvoiced frames: 0   (0 / 21),0,0,of voice breaks: 0   (0 seconds / 0.258911 seconds),0.532,31.037,0.218,0.253,3.638,0.321,1.601,1.867,2.888,0.957,0.05,16.873,966.019,1890.337,2787.906,3771.468
25798_,2.543,55.498,-17.588,207.676,202.839,15.649,151.429,250.78,381,377,4.936,0.419,24.359,of locally unvoiced frames: 24.359%   (57 / 234),3,25.698,of voice breaks: 25.698%   (0.653634 seconds / 2.543489 seconds),1.239,61.148,0.456,0.608,5.973,0.748,2.055,3.407,6.965,0.953,0.059,17.525,672.57,1846.994,3034.395,3998.03
25802_đà,0.26,59.705,-10.177,182.832,185.303,7.698,173.885,201.77,44,43,5.392,0.232,0,of locally unvoiced frames: 0   (0 / 21),0,0,of voice breaks: 0   (0 seconds / 0.260030 seconds),0.463,24.98,0.169,0.201,2.294,0.204,0.968,1.37,2.188,0.971,0.03,17.295,977.72,1917.565,2867.323,3913.75
25806_,2.499,56.134,-16.923,200.119,197.908,18.86,117.077,249.435,397,394,5.1,0.745,19.565,of locally unvoiced frames: 19.565%   (45 / 230),2,18.383,of voice breaks: 18.383%   (0.459476 seconds / 2.499488 seconds),1.532,78.113,0.615,0.702,5.387,0.632,1.842,3.096,6.506,0.957,0.054,18.095,662.405,1776.278,3021.873,3966.576
